,OFS,Commune,District,Population,Area,Density,Latitude,Longitude
216,5495,Penthalaz,Gros-de-Vaud,3283,3.87,848,46.6113262,6.5252453
217,5496,Penthaz,Gros-de-Vaud,1747,3.83,456,46.597822,6.540398
218,5531,Penthéréaz,Gros-de-Vaud,421,5.68,74,46.6818849,6.6035686
219,5860,Perroy,Nyon,1508,2.9,520,46.4681469,6.3642905
220,5533,Poliez-Pittet,Gros-de-Vaud,846,5.01,169,46.6277599,6.6826495
221,5497,Pompaples,Morges,847,4.45,190,46.6666443,6.5106833
222,5926,Pomy,Jura-Nord vaudois,780,5.62,139,46.7609575,6.6663747
223,5725,Prangins,Nyon,4040,6.03,670,46.3947976,6.2487871
224,5759,Premier,Jura-Nord vaudois,213,6.12,35,46.7047978,6.444282
225,5643,Préverenges,Morges,5298,1.86,2848,46.516083,6.526853
226,5683,Prévonloup,Broye-Vully,184,1.84,100,46.699867,6.8820157
227,5589,Prilly,Ouest lausannois,12392,2.19,5658,46.534566,6.6055827
228,5566,Provence,Jura-Nord vaudois,373,31.84,12,46.8914636,6.7270271
229,5607,Puidoux,Lavaux-Oron,2880,22.89,126,46.5008111,6.7823914
230,5590,Pully,Lavaux-Oron,18336,5.85,3134,46.5098019,6.6617476
231,5760,Rances,Jura-Nord vaudois,482,9.83,49,48.466775,4.5466464
232,5591,Renens,Ouest lausannois,20968,2.96,7084,46.5349093,6.5928442
233,5412,Rennaz,Aigle,826,2.19,377,46.3757048,6.9190655
234,5644,Reverolle,Morges,399,1.18,338,46.5416336,6.4384876
235,5609,Rivaz,Lavaux-Oron,358,0.31,1155,46.4762772,6.7786403
236,5413,Roche,Aigle,1775,6.44,276,46.3610602,6.9309298
237,5861,Rolle,Nyon,6246,2.74,2280,46.4601563,6.3380469
238,5592,Romanel-sur-Lausanne,Lausanne,3311,2.88,1150,46.559413899999996,6.608593028650837
239,5645,Romanel-sur-Morges,Morges,458,1.75,262,46.5564288,6.5101067
240,5798,Ropraz,Broye-Vully,494,4.83,102,46.6153223,6.7515592
241,5684,Rossenges,Broye-Vully,65,1.07,61,46.6520362,6.7765557
242,5842,Rossinière,Riviera-Pays-d'Enhaut,548,23.36,23,46.4675176,7.083061
243,5843,Rougemont,Riviera-Pays-d'Enhaut,882,48.53,18,46.4900222,7.2106603
244,5928,Rovray,Jura-Nord vaudois,180,3.2,56,46.7849701,6.7644976
245,5534,Rueyres,Gros-de-Vaud,255,2.02,126,44.7480871,1.8463514
246,5535,Saint-Barthélemy,Gros-de-Vaud,778,4.12,189,46.6355663,6.6001447
247,5727,Saint-Cergue,Nyon,2583,24.28,106,46.4460968,6.158111
248,5434,Saint-George,Nyon,1031,12.32,84,46.5138321,6.2602719
249,5888,Saint-Légier-La Chiésaz,Riviera-Pays-d'Enhaut,5185,15.17,342,46.4722777,6.8759701
250,5435,Saint-Livres,Morges,690,8.12,85,46.5088701,6.3865672
251,5436,Saint-Oyens,Morges,448,3.05,147,46.4980293,6.3063994
252,5646,Saint-Prex,Morges,5684,5.52,1030,46.4809059,6.4586004
253,5610,Saint-Saphorin,Lavaux-Oron,391,0.89,439,46.4731819,6.7959554
254,5648,Saint-Sulpice,Ouest lausannois,4669,1.86,2510,46.5100832,6.5580607
255,5568,Sainte-Croix,Jura-Nord vaudois,4845,39.42,123,50.7504894,20.7829122
256,5437,Saubraz,Morges,418,3.7,113,46.5145609,6.3302084
257,5611,Savigny,Lavaux-Oron,3353,16.02,209,46.5384249,6.7316194
258,5499,Senarclens,Morges,488,3.97,123,46.6004691,6.4868169
259,5762,Sergey,Jura-Nord vaudois,146,1.46,100,46.7505419,6.4995735
260,5799,Servion,Lavaux-Oron,1942,6.33,307,46.5767948,6.7845039
261,5500,Sévery,Morges,225,2.38,95,46.5758446,6.4388219
262,5728,Signy-Avenex,Nyon,592,1.93,307,46.3903104,6.1997654
263,5929,Suchy,Jura-Nord vaudois,599,6.66,90,46.7232325,6.5994077
264,5501,Sullens,Gros-de-Vaud,1036,3.92,264,46.5931372,6.5661454
265,5930,Suscévaz,Jura-Nord vaudois,213,4.15,51,46.7642362,6.5780348
266,5688,Syens,Broye-Vully,159,2.52,63,46.6456578,6.7782652
267,5729,Tannay,Nyon,1593,1.82,875,46.3089604,6.1757001
268,5862,Tartegnin,Nyon,246,1.09,226,46.4666552,6.3156804
269,5571,Tévenon,Jura-Nord vaudois,877,14.29,61,46.8648032,6.6382256331379015
270,5649,Tolochenaz,Morges,1933,1.59,1216,46.5047001,6.4734539
271,5730,Trélex,Nyon,1408,5.78,244,46.414967,6.2048987
272,5827,Trey,Broye-Vully,267,3.81,70,46.769255,6.9251725
273,5931,Treycovagnes,Jura-Nord vaudois,480,2.08,231,46.7738784,6.6092758
274,5828,Treytorrens,Broye-Vully,119,3.07,39,46.7731198,6.8003881
275,5932,Ursins,Jura-Nord vaudois,230,3.35,69,46.734894,6.668296
276,5831,Valbroye,Broye-Vully,3174,33.57,95,46.72472195,6.891959451206456
277,5933,Valeyres-sous-Montagny,Jura-Nord vaudois,708,2.28,311,46.800719900000004,6.601729290487407
278,5763,Valeyres-sous-Rances,Jura-Nord vaudois,622,6.37,98,46.74810945,6.538801622002696
279,5934,Valeyres-sous-Ursins,Jura-Nord vaudois,232,2.88,81,46.7445425,6.653776708444297
280,5764,Vallorbe,Jura-Nord vaudois,3852,23.19,166,46.7120498,6.3790105
281,5765,Vaulion,Jura-Nord vaudois,469,13.17,36,46.6883547,6.3894066
282,5650,Vaux-sur-Morges,Morges,184,2.1,88,46.53767595,6.463836048849089
283,5891,Veytaux,Riviera-Pays-d'Enhaut,884,6.76,131,46.4215725,6.9275648
